NT_1	NT_2	NT_3	Pit_1	Pit_2	Pit_3	T2_1	T2_2	T2_3	T2wPit_1	T2wPit_2	T2WPit_3
ENSG00000131591.18	3.18127073093171	2.82823288410223	3.00708656468554	3.41985874010758	3.38391833889917	3.40614138072823	3.39293784264942	3.31345176836473	3.00981607504371	3.30709343149212	3.18591592619312	3.16702373671772
ENSG00000272141.1	1.71916398576187	1.0856959641534	0.661169666968974	0.304346903990867	1.09728877914006	1.28278528860832	1.37578802057566	1.27237163239337	0.542764744801899	1.63859076874074	1.42292160886218	1.14713755110669
ENSG00000162571.14	6.03704534865873	5.82205853908515	5.80250981230295	5.56025468671686	5.66595647879263	5.68971693333021	5.93711084997609	5.68632230060758	5.59070902849264	5.58387879691868	5.50168319877742	5.62242513066875
ENSG00000078808.19	5.68245381568683	5.79699690302346	5.83844168205039	5.90882130347448	5.92471338635311	5.95113097659299	5.97832526917027	5.9704471349388	5.97602247539622	5.96083406444409	6.06764289366953	6.12027483615786
ENSG00000176022.7	4.11488360295767	4.18999023503387	4.3604678175913	4.21871702141944	4.38699443258173	4.32714938467313	4.33553476054813	4.13974603121693	4.20954871275087	4.16697444094541	4.17206964385039	4.22105092813516
ENSG00000160087.21	4.60271902151775	4.7789234802088	4.70535620841146	4.69393515951384	4.66882476782432	4.58914182159995	5.00241679169173	4.86573663453585	4.80897493367117	5.02621124012755	4.76308427327485	5.10148140612324
ENSG00000131584.19	4.01201373678258	4.22381699033024	4.07173593468113	4.30464267414481	4.32021197181645	4.45267992165803	4.65959055636708	4.76738085428301	4.59042673820388	4.63358748026694	4.46851621259788	4.61174819173311
ENSG00000169972.12	3.04361447636167	2.68986249446189	2.45226344603785	2.92617894915845	2.70214644277137	2.85044715887043	3.28956022220766	2.97449347763625	3.02613686259114	2.63323198959674	3.07008527496245	2.92324754537518
ENSG00000127054.22	5.55032441234756	5.47759880020009	5.36017791345335	5.58254072248859	5.7047361165054	5.53879307142056	5.86901480875631	5.77758398069365	5.79738041098823	5.58160971691173	5.72054305099489	5.61611988933458
ENSG00000224051.7	4.08400535108062	3.63301659140865	3.99140309177408	4.11380951893739	4.00404011174531	4.1336124205356	4.35273351968688	4.52804614723824	4.55711911588609	4.28881461223259	4.33149188610733	4.363367149731
ENSG00000107404.21	5.90635639611745	5.81652678890006	5.85710821758644	5.87912009817267	6.02650797338971	5.94707276380332	5.9237463503207	5.88507489360767	5.79975562046269	6.03236144941168	5.99916514950046	6.04247260899354
ENSG00000175756.14	4.2037406048379	4.26501471562397	4.1478306004823	4.21871702141944	4.16492650986063	4.1336124205356	4.3865279025515	4.36384918398476	4.46434554070224	4.39083092595138	4.42202361952609	4.23757508045456
ENSG00000221978.13	5.86154131435886	5.63044078597787	5.72784446149373	5.70722566578736	5.64091586786647	5.77001847423031	5.97462677926353	5.91218050351431	5.61518986882507	6.01732986999714	5.73419900397559	5.83280558188132
ENSG00000224870.8	3.61840214884068	3.17801200519259	3.0935879565674	2.87894037389544	3.14361965291713	3.40614138072823	3.32484893048614	3.27816806250637	3.02613686259114	2.82958330225025	3.13740832853794	3.09630520865249
ENSG00000242485.6	5.65907490111373	5.46704517425898	5.53007069972849	5.58989354907253	5.46185498229581	5.37324366355448	5.31475649976991	5.43453629291058	5.77582569780159	5.42336245313509	5.47590475548034	5.34587544098332
ENSG00000235098.9	5.91734597811721	5.79136802973574	5.57586633543742	5.32496570992783	5.15497356730358	5.1513555739207	5.62189168727232	5.55244161954919	5.68109019342009	5.15693150794103	5.13246709764211	5.0415752231702
ENSG00000179403.12	4.62969662780157	4.70300719534431	4.63978909812214	4.58531474804205	4.63117487432679	4.4354019759622	5.00966372682974	5.05482608315512	5.18105399431549	4.96485513603399	4.919485850642	4.8982341557453
ENSG00000215915.10	0.714950167787954	0.756499938052268	0.117153440271461	0.396681210898141	0.886207484451951	0.867759177311896	1.23448359618015	1.06718093849749	1.30145145481018	1.19184651902674	1.05623338132698	1.46038505852806
ENSG00000160072.20	3.23847394661661	3.16065208022867	3.07952644887649	3.35228868706458	3.51831969454881	3.23029256176474	3.72776811743392	3.71632172718235	3.43345679923092	3.65664909210879	3.60993577277239	3.39035631627369
ENSG00000197785.14	3.69192031033019	3.9382166148048	3.90633198192816	3.86986785886834	3.59854559187442	3.77002304404445	4.05644068231207	4.07268530949908	3.89100568280726	4.01383160323981	3.91821008293587	4.00641873144005
ENSG00000160075.12	6.36544982212666	6.5197287410689	6.44474734952765	6.55383958335719	6.55372806721773	6.49081217871807	6.49447444901996	6.50595730763896	6.51192516136137	6.45926867014324	6.55385028918772	6.58155722803151
ENSG00000215014.5	2.04193336933021	1.81954069647054	2.51629916977769	1.71161462523835	1.98535249107271	1.6453477759548	1.83333404690474	1.68535898274218	1.63516258064559	1.09335193530087	1.1890907641263	1.21546480493527
ENSG00000228594.4	2.04193336933021	2.6153598051184	2.67434497055189	2.1164599676098	1.98535249107271	2.2567733085194	2.10096821837158	2.49007371090054	2.45648672742319	1.23868181783665	1.67028125672103	1.40294176601775
ENSG00000272106.1	3.19578557281959	3.05186278242967	2.78246299355505	2.63539813312348	3.0829361063261	2.98320135449869	3.08522189927927	3.10103876539572	3.22304157659706	2.57966459510083	2.48282334155116	2.47108910105993
ENSG00000197530.13	4.13007837924206	3.85431896573154	4.10682271142716	3.98588395221186	3.837701128973	3.95921732354723	4.20903570336239	4.22250980557412	4.10587132935231	4.02723302706889	4.09795638478987	3.95738225523615
ENSG00000248333.9	3.69192031033019	3.60761769728711	3.40681492049721	3.7081045264931	3.5810991798576	3.70422126999222	3.76250131196545	3.91316630186013	3.75073446197254	3.78841369901974	3.57393651293747	4.1354660923455
ENSG00000189339.12	6.36865618539706	6.28954414972441	6.27312437194579	6.346642330403	6.33047597503525	6.36414046005161	6.33775059532303	6.36031888015596	6.25925383426526	6.19853279457972	6.19160285242482	6.31969331874588
ENSG00000268575.1	2.35809586360371	2.48194342553966	2.74731630229669	2.14336163062905	2.47541098749177	2.49777873220136	2.43826334108962	2.21950050115892	1.71786800742279	2.54281510329065	2.22873466114683	2.12533735768824
ENSG00000215790.8	2.19427284093149	1.81954069647054	1.8014296672065	1.8810201506272	1.48271828140443	1.42962337073231	1.83333404690474	1.88618981799697	2.07240363497388	1.83426130798286	1.75845716669501	1.46038505852806
ENSG00000008130.15	5.58381885072241	5.66162826492362	5.5556919699987	5.92247534716517	6.02166610312723	5.97125255390488	6.02019008628677	5.89287145852805	5.94416878560171	6.09574707517537	6.02383742983839	6.22342694921614
ENSG00000078369.18	8.18047061940232	8.31927442666482	8.29827228843094	8.46386580997252	8.531145861303	8.50157402830284	8.58049309266849	8.44842432907021	8.56884474077195	8.54971050388401	8.63062561896865	8.69850434728936
ENSG00000142609.20	5.93907715013706	5.72500641429934	5.8467677514251	5.32790022463767	5.449890043725	5.34576296569936	5.8946843192878	5.85545667356915	5.62593830975635	5.3874411511256	5.40254287165324	5.45235008350055
ENSG00000067606.17	5.12289862182943	5.25439176172765	5.17751021634446	5.04368022692467	5.03836287873397	5.19649765763431	5.55163878220514	5.42650153094117	5.43134032782724	5.29628868075186	5.33244998250127	5.45235008350055
ENSG00000162585.17	3.95342598787085	3.83255941767632	3.89834360358722	3.81235945440502	3.72307329796003	3.77002304404445	4.1046143591224	3.76810750360635	3.78949362471254	3.74851500409318	3.75631837099192	3.60932772358307
ENSG00000157933.10	5.49564802012532	5.76001042306072	5.64194434652082	5.49386874389269	5.64931112263427	5.67507017379911	5.77220224357028	5.80676522077688	5.70155803008972	5.69720810806207	5.82122472403543	5.90957427124898
ENSG00000116151.14	5.36367574371017	5.17014891097739	5.26398259345324	5.02932957565183	4.85090805174644	4.79281181462506	5.498541781093	5.36617153720543	5.22766632481463	5.0592031716302	4.96188878397927	5.13273700523299
ENSG00000269896.2	4.2251253116556	4.05556885741798	4.00634571408515	3.82071662796419	3.762303286066	3.92661278026865	4.12477776512748	4.15279206709009	3.98584220546431	3.96592129925226	3.88920696512466	4.01602914585278
ENSG00000157916.20	6.13444392443227	6.30937243480202	6.1540517314954	6.30406150925725	6.32262375558988	6.3488413344266	6.42841475819298	6.39641689899393	6.44521770717113	6.37661066097915	6.35430948312743	6.43880462474842
ENSG00000157911.11	4.2251253116556	4.19852157023301	4.07173593468113	4.23756536974139	4.4069360827836	4.11925717491565	4.32975597462485	4.22250980557412	4.30627238527213	4.26638649198861	4.19595148031425	4.2127173324177
ENSG00000149527.18	4.58628694491432	4.67882122611721	4.69616995374063	4.78216580569217	4.86178575310953	4.85910335865791	4.86133218215819	4.80918026318956	4.67047928727473	5.02621124012755	4.82565373721931	4.91374057251781
ENSG00000157881.16	3.6608701108137	3.78803029035788	3.77288532380903	3.63416559938578	3.83033621128799	3.69457114275997	4.22780037384212	4.06580455265546	4.03505853307741	4.11771122307659	3.95599562257851	4.03506002367985
ENSG00000197921.6	-0.886991771005757	0.0564019386219819	0.32213956314119	-0.274429762717334	-0.549060318485569	0.175909504247996	1.07782131725509	1.57338320656495	1.4540063277851	1.04146257418044	0.90988865970243	0.999934532684343
ENSG00000272449.2	0.867797010019217	0.660959730645154	0.583585471484407	0.565313457089648	1.36532275599711	0.0604384186622176	-0.436737000509953	-0.0373163756136342	-0.0020542639945903	-1.07290752464643	-0.034715706195563	-0.111299412773654
ENSG00000238164.6	3.69192031033019	3.5012995174173	3.7815972926732	3.62465099120696	3.66629501571197	3.70422126999222	3.68314162650737	3.25415688188424	3.43345679923092	3.85756335932705	3.69059719530908	3.73102469266985
ENSG00000157873.18	5.06082017791232	5.01940119214232	4.98726772412452	4.99281572038105	4.93571627504882	5.17583821976333	4.90084387452951	4.77583818254336	4.72148176304706	4.99926347822604	4.90506999077138	4.97907333511405
ENSG00000157870.17	5.45399132969208	5.56926035370802	5.47204915655099	5.67070730366108	5.76004975201729	5.62260281416045	5.4380540290243	5.09930745464016	5.28643339906119	5.25985549672207	5.1890929402086	5.25951206669176
ENSG00000142606.16	1.45528780037438	0.448507830790555	1.21817443184678	1.24943950135993	0.704785540249651	1.42962337073231	0.838356826808813	0.618145107869546	1.00474074149786	0.383525707681079	0.352889840239187	0.999934532684343
